# Rime user dictionary
#@/db_name	xhup.userdb
#@/db_type	userdb
#@/rime_version	1.3.0
#@/tick	702
#@/user_id	kktt
a 	啊	c=3 d=1.33306 t=702
aa 	阿	c=2 d=0.0602441 t=702
aik 	唉	c=1 d=0.677057 t=702
b 	不	c=21 d=5.89168 t=702
ba 	把	c=2 d=0.337787 t=702
baui 	八十	c=2 d=0.923714 t=702
bav 	巴	c=1 d=0.47001 t=702
bhvu 	帮助	c=1 d=0.798516 t=702
bi 	比	c=1 d=0.246597 t=702
bian 	彼岸	c=2 d=0.677496 t=702
bidr 	弊端	c=1 d=0.205975 t=702
bj 	办	c=1 d=0.634448 t=702
bjbf 	版本	c=1 d=0.285076 t=702
bjp 	版	c=2 d=0.444858 t=702
bk 	并	c=1 d=0.276651 t=702
bmji 	编辑	c=1 d=0.227638 t=702
bmma 	编码	c=1 d=0.451581 t=702
bmr 	便	c=2 d=0.789266 t=702
bnqm 	标签	c=1 d=0.202908 t=702
bp 	别	c=1 d=0.214381 t=702
buuu 	部署	c=1 d=0.479506 t=702
bvd 	不知道	c=1 d=0.396531 t=702
bvdc 	不知道	c=1 d=0.924344 t=702
bw 	被	c=2 d=0.960831 t=702
bxu 	半小时	c=1 d=0.440431 t=702
bxui 	便携式	c=6 d=4.68525 t=702
bxui 	八小时	c=4 d=3.12305 t=702
ci 	次	c=1 d=0.579842 t=702
ciku 	词库	c=1 d=0.451581 t=702
ciy 	词	c=7 d=4.42988 t=702
co 	错	c=2 d=1.11154 t=702
d 	的	c=129 d=59.9694 t=702
da 	大	c=2 d=0.442927 t=702
dakd 	打开	c=1 d=0.79057 t=702
dc 	到	c=1 d=0.179964 t=702
dci 	导出	c=1 d=1 t=702
dddd 	点点滴滴	c=1 d=0.634448 t=702
ddf 	带	c=1 d=0.198891 t=702
dhrj 	当然	c=1 d=0.774917 t=702
div 	第	c=1 d=0.256661 t=702
dj 	但	c=1 d=0.158817 t=702
djxb 	担心	c=2 d=0.298737 t=702
do 	多	c=1 d=0.224249 t=702
douc 	多少	c=1 d=0.802518 t=702
dv 	对	c=2 d=0.462269 t=702
dvt 	堆	c=1 d=0.256661 t=702
dz 	都	c=4 d=0.472673 t=702
eh 	鹤	c=6 d=1.76371 t=702
eryi 	而已	c=1 d=0.191092 t=702
f 	非	c=4 d=2.09304 t=702
fav 	发	c=2 d=1.31416 t=702
faxm 	发现	c=2 d=0.459784 t=702
fayb 	发音	c=1 d=0.737123 t=702
fgt 	封	c=1 d=0.701174 t=702
fh 	放	c=1 d=0.28224 t=702
fhd 	方	c=1 d=0.196912 t=702
fhfa 	方法	c=2 d=0.708789 t=702
fhui 	方式	c=1 d=0.831104 t=702
fj 	反	c=1 d=0.293758 t=702
fjy 	反应	c=1 d=0.486752 t=702
fjyi 	翻译	c=1 d=0.718923 t=702
fwyh 	飞扬	c=1 d=0.708221 t=702
g 	个	c=6 d=1.48198 t=702
gdj 	改	c=1 d=0.519442 t=702
gebi 	隔壁	c=1 d=0.683862 t=702
gfsv 	跟随	c=1 d=0.283654 t=702
gfx 	规范性	c=1 d=0.369723 t=702
gg 	更	c=2 d=0.412982 t=702
gjga 	尴尬	c=1 d=0.67368 t=702
glbn 	光标	c=2 d=0.648711 t=702
go 	过	c=1 d=0.182683 t=702
gol 	果	c=4 d=1.95558 t=702
gr 	关	c=1 d=0.263158 t=702
grbi 	关闭	c=1 d=0.244144 t=702
grjm 	关键	c=1 d=0.891366 t=702
gsng 	功能	c=7 d=1.43671 t=702
gszi 	工资	c=1 d=0.65377 t=702
gudk 	固定	c=2 d=0.468328 t=702
gvze 	规则	c=1 d=0.755784 t=702
hc 	好	c=5 d=1.51487 t=702
hd 	还	c=6 d=1.84449 t=702
hejb 	合金	c=2 d=0.913849 t=702
her 	合	c=3 d=1.16678 t=702
hjb 	寒	c=3 d=1.09121 t=702
hjhx 	汉化	c=1 d=0.618784 t=702
hv 	会	c=3 d=0.460044 t=702
hvd 	汇	c=1 d=0.477114 t=702
hvda 	回答	c=1 d=0.474734 t=702
hvfu 	回复	c=1 d=0.529935 t=702
hx 	话	c=1 d=0.806542 t=702
