 的	〔※※※※☯rqyy☯de※di※〕
 一	〔※※※※☯ggll☯yi※〕
 是	〔※※※※☯jghu☯shi※〕
 在	〔※※※※☯dhfd☯zai※〕
 不	〔※※※※☯dhi☯bu※〕
 了	〔※※※※☯bnh☯le※liao※〕
 有	〔※※※※☯def☯you※〕
 和	〔※※※※☯tkg☯he※huo※hu※〕
 人	〔※※※※☯wwww☯ren※〕
 这	〔※※※※☯ypi☯zhe※zhei※〕
 中	〔※※※※☯khk☯zhong※〕
 大	〔※※※※☯dddd☯da※dai※〕
 上	〔※※※※☯hgd☯shang※〕
 为	〔※※※※☯ytny☯wei※〕
 个	〔※※※※☯whj☯ge※〕
 过	〔※※※※☯fpi☯guo※〕
 国	〔※※※※☯lgyi☯guo※〕
 我	〔※※※※☯trxy☯wo※〕
 以	〔※※※※☯nywy☯yi※〕
 地	〔※※※※☯fbn☯di※de※〕
 他	〔※※※※☯wbn☯ta※〕
 要	〔※※※※☯svf☯yao※〕
 来	〔※※※※☯goi☯lai※〕
 们	〔※※※※☯wun☯men※〕
 时	〔※※※※☯jfy☯shi※〕
 到	〔※※※※☯gcfj☯dao※〕
 生	〔※※※※☯tgd☯sheng※〕
 用	〔※※※※☯ehk☯yong※〕
 作	〔※※※※☯wthf☯zuo※〕
 就	〔※※※※☯ykiy☯jiu※〕
 出	〔※※※※☯bmk☯chu※〕
 于	〔※※※※☯gfk☯yu※〕
 会	〔※※※※☯wfcu☯hui※kuai※〕
 对	〔※※※※☯cfy☯dui※〕
 分	〔※※※※☯wvr☯fen※〕
 成	〔※※※※☯dnxy☯cheng※〕
 年	〔※※※※☯rhfk☯nian※〕
 可	〔※※※※☯skd☯ke※〕
 同	〔※※※※☯mgkd☯tong※〕
 主	〔※※※※☯ygd☯zhu※〕
 也	〔※※※※☯bnhn☯ye※〕
 发	〔※※※※☯ntcy☯fa※〕
 工	〔※※※※☯aaaa☯gong※〕
 说	〔※※※※☯yukq☯shuo※shui※yue※〕
 子	〔※※※※☯bbbb☯zi※〕
 下	〔※※※※☯ghi☯xia※〕
 能	〔※※※※☯cexx☯neng※〕
 动	〔※※※※☯fcet☯dong※〕
 行	〔※※※※☯tgsh☯xing※hang※heng※〕
 产	〔※※※※☯ute☯chan※〕
 而	〔※※※※☯dmjj☯er※〕
 多	〔※※※※☯qqu☯duo※〕
 后	〔※※※※☯rgkd☯hou※〕
 方	〔※※※※☯yygt☯fang※〕
 面	〔※※※※☯dmjd☯mian※〕
 种	〔※※※※☯tkhh☯zhong※chong※〕
 学	〔※※※※☯ipbf☯xue※〕
 著	〔※※※※☯aftj☯zhu※zhuo※〕
 着	〔※※※※☯ughf☯zhe※zhao※zhuo※〕
 得	〔※※※※☯tjgf☯de※dei※〕
 定	〔※※※※☯pghu☯ding※〕
 法	〔※※※※☯ifcy☯fa※〕
 民	〔※※※※☯nav☯min※〕
 所	〔※※※※☯rnrh☯suo※〕
 经	〔※※※※☯xcag☯jing※〕
 十	〔※※※※☯fgh☯shi※〕
 三	〔※※※※☯dggg☯san※〕
 之	〔※※※※☯pppp☯zhi※〕
 进	〔※※※※☯fjpk☯jin※〕
 家	〔※※※※☯pgeu☯jia※jie※〕
 等	〔※※※※☯tffu☯deng※〕
 部	〔※※※※☯ukbh☯bu※〕
 里	〔※※※※☯jfd☯li※〕
 都	〔※※※※☯ftjb☯du※dou※〕
 自	〔※※※※☯thd☯zi※〕
 二	〔※※※※☯fgg☯er※〕
 如	〔※※※※☯vkg☯ru※〕
 理	〔※※※※☯gjfg☯li※〕
 起	〔※※※※☯fhnv☯qi※〕
 力	〔※※※※☯ent☯li※〕
 长	〔※※※※☯tayi☯chang※zhang※〕
 化	〔※※※※☯wxn☯hua※〕
 现	〔※※※※☯gmqn☯xian※〕
 小	〔※※※※☯ihty☯xiao※〕
 度	〔※※※※☯oaci☯du※duo※〕
 实	〔※※※※☯pudu☯shi※〕
 点	〔※※※※☯hkou☯dian※〕
 高	〔※※※※☯ykmk☯gao※〕
 还	〔※※※※☯dhpi☯hai※huan※〕
 当	〔※※※※☯ivf☯dang※〕
 电	〔※※※※☯jnv☯dian※〕
 加	〔※※※※☯ekg☯jia※〕
 两	〔※※※※☯gmww☯liang※〕
 从	〔※※※※☯wwy☯cong※〕
 去	〔※※※※☯fcu☯qu※〕
 物	〔※※※※☯tqrt☯wu※〕
 把	〔※※※※☯rcn☯ba※〕
 本	〔※※※※☯sgd☯ben※〕
 好	〔※※※※☯vbg☯hao※〕
 水	〔※※※※☯iiii☯shui※〕
 制	〔※※※※☯rmhj☯zhi※〕
 体	〔※※※※☯wsgg☯ti※〕
 开	〔※※※※☯gak☯kai※〕
 业	〔※※※※☯ogd☯ye※〕
 重	〔※※※※☯tgjf☯zhong※chong※〕
 使	〔※※※※☯wgkr☯shi※〕
 天	〔※※※※☯gdi☯tian※〕
 然	〔※※※※☯qdyo☯ran※〕
 些	〔※※※※☯hxff☯xie※〕
 量	〔※※※※☯jgjf☯liang※〕
 前	〔※※※※☯uejj☯qian※〕
 四	〔※※※※☯lhng☯si※〕
 那	〔※※※※☯ngbh☯na※nei※〕
 外	〔※※※※☯qhy☯wai※〕
 事	〔※※※※☯gkvh☯shi※〕
 它	〔※※※※☯pxb☯ta※〕
 名	〔※※※※☯qkf☯ming※〕
 合	〔※※※※☯wgkf☯he※ge※〕
 因	〔※※※※☯ldi☯yin※〕
 应	〔※※※※☯oigd☯ying※〕
 由	〔※※※※☯mhng☯you※〕
 其	〔※※※※☯adwu☯qi※ji※〕
 日	〔※※※※☯jjjj☯ri※〕
 性	〔※※※※☯ntgg☯xing※〕
 社	〔※※※※☯pyfg☯she※〕
 义	〔※※※※☯yri☯yi※〕
 全	〔※※※※☯wgf☯quan※〕
 样	〔※※※※☯sugh☯yang※〕
 政	〔※※※※☯ghty☯zheng※〕
 表	〔※※※※☯geu☯biao※〕
 机	〔※※※※☯swn☯ji※〕
 关	〔※※※※☯udu☯guan※〕
 新	〔※※※※☯usrh☯xin※〕
 平	〔※※※※☯gufk☯ping※〕
 各	〔※※※※☯tkf☯ge※〕
 相	〔※※※※☯shg☯xiang※〕
 间	〔※※※※☯ujd☯jian※〕
 心	〔※※※※☯nyny☯xin※〕
 正	〔※※※※☯ghd☯zheng※〕
 与	〔※※※※☯gngd☯yu※〕
 西	〔※※※※☯sghg☯xi※〕
 形	〔※※※※☯gaet☯xing※〕
 反	〔※※※※☯rci☯fan※〕
 看	〔※※※※☯rhf☯kan※〕
 明	〔※※※※☯jeg☯ming※〕
 又	〔※※※※☯cccc☯you※〕
 么	〔※※※※☯tcu☯me※ma※〕
 内	〔※※※※☯mwi☯nei※〕
 你	〔※※※※☯wqiy☯ni※〕
 但	〔※※※※☯wjgg☯dan※〕
 利	〔※※※※☯tjh☯li※〕
 道	〔※※※※☯uthp☯dao※〕
 原	〔※※※※☯drii☯yuan※〕
 没	〔※※※※☯iwcy☯mei※mo※〕
 第	〔※※※※☯txht☯di※〕
 比	〔※※※※☯xxn☯bi※〕
 命	〔※※※※☯wgkb☯ming※〕
 数	〔※※※※☯ovty☯shu※shuo※〕
 只	〔※※※※☯kwu☯zhi※〕
 线	〔※※※※☯xfxy☯xian※〕
 向	〔※※※※☯tmkd☯xiang※〕
 问	〔※※※※☯ukd☯wen※〕
 意	〔※※※※☯ujnu☯yi※〕
 站	〔※※※※☯uhkg☯zhan※〕
 此	〔※※※※☯hxn☯ci※〕
 或	〔※※※※☯akgd☯huo※〕
 条	〔※※※※☯tsu☯tiao※〕
 无	〔※※※※☯fqv☯wu※mo※〕
 公	〔※※※※☯wcu☯gong※〕
 质	〔※※※※☯rfmi☯zhi※〕
 结	〔※※※※☯xfkg☯jie※〕
 解	〔※※※※☯qehg☯jie※xie※〕
 情	〔※※※※☯ngeg☯qing※〕
 建	〔※※※※☯vgpk☯jian※〕
 月	〔※※※※☯eeee☯yue※〕
 想	〔※※※※☯shnu☯xiang※〕
 很	〔※※※※☯tvey☯hen※〕
 变	〔※※※※☯yocu☯bian※〕
 者	〔※※※※☯ftjf☯zhe※〕
 代	〔※※※※☯wayy☯dai※〕
 已	〔※※※※☯nnnn☯yi※〕
 立	〔※※※※☯uuuu☯li※〕
 系	〔※※※※☯txiu☯xi※ji※〕
 军	〔※※※※☯plj☯jun※〕
